ad_id,ad_name,long_version_video_id,short_version_video_id
826,vellicative-chemisorb,874,192
827,outvenomed-tithonias,1215,728
828,ejective-straked,1987,1203
829,acrylonitrile-bloodlust,1135,1624
830,outstations-tying,503,385
831,chieferies-emblics,493,1069
832,squiresses-bigheadedness,1106,1378
833,effete-cutch,1773,974
834,pellack-juvenals,649,1114
835,cervixes-alibied,458,1285
836,depopulating-graips,1525,1965
837,mycovirus-nattering,1499,1700
838,unappalled-laveers,1350,256
839,suboptimizations-unpunctualities,996,327
840,frush-beadman,997,194
841,interclavicular-sugging,1259,329
842,diurnalists-papyrus,1971,104
843,shortchanged-contemplatist,1746,1300
844,babblements-heptahedra,1733,686
845,vacances-trephine,1331,1540
846,arable-sinistrorse,1193,769
847,swingisms-floppily,1043,420
848,chinwag-defrags,359,1294
849,turcopole-galravaging,310,1512
850,fuliginosities-denotate,431,1093
851,coltishnesses-compearances,524,1829
852,informations-transpirable,264,1431
853,axoplasms-daman,516,1549
854,bough-contraried,966,384
855,wester-torpescences,1692,1696
856,accidental-laterized,537,1450
857,teds-afterwards,1040,1302
858,sculs-morelles,1523,1910
859,noncomputerized-hillocks,602,43
860,bewrayed-emanations,1787,391
861,aerodart-porcelainise,1221,465
862,cabezon-epileptically,472,363
863,parotides-lairising,1213,209
864,rentings-multicapitate,1238,515
865,rail-incrementals,1042,709
866,fetchers-lovesome,343,168
867,eukaryon-claim,1818,1905
868,deejay-haemocyte,545,1007
869,relatives-quellers,1988,560
870,rheotaxis-subcodes,255,230
871,commonplaces-pseudocode,115,1972
872,pungles-brocatels,1690,932
873,maraudings-microcelebrity,1022,1613
874,azym-abelia,436,1028
875,antimonites-recalcitration,422,627
876,rebalancing-dognapping,1046,116
877,bilabiate-belittler,666,1867
878,overperch-overwhelming,1388,1763
879,enmeshments-rogued,1079,1264
880,codomains-kinships,1122,1088
881,unworried-ensigns,1463,1828
882,protonations-acridities,1465,323
883,tretinoins-fisheries,1647,423
884,clofibrates-divisional,577,1365
885,dodgeries-parallelopipeda,1607,1623
886,dibenzofurans-prioritizes,1977,780
887,lewisites-liripoop,1513,899
888,nanodots-multivolume,896,1345
889,butane-thatches,153,337
890,wayless-belt,1870,242
891,instituted-weathercloths,1253,112
892,underestimation-forfaiters,813,801
893,hedonistic-mams,1817,1428
894,reassembly-therefor,1485,334
895,dubitates-homologise,1840,215
896,monoecy-pettifoggings,651,526
897,psammophyte-unwithered,576,220
898,burnooses-malaxage,1691,1760
899,sorrowfulnesses-henotheism,300,1171
900,tomographic-realtones,1401,767
901,benzoyl-inclose,131,943
902,girsh-offerors,36,427
903,stronghold-sylphides,798,178
904,outdrinks-apoptoses,1816,969
905,stottering-reusability,155,241
906,coprophagies-fantads,318,1683
907,secretors-timelessness,1853,1107
908,retrainable-deriver,1621,428
909,battening-georgics,514,1466
910,imbower-brickclay,1845,41
911,unwedgeable-guttating,1517,755
912,larcenously-amnions,814,1258
913,cevadilla-agon,1084,1597
914,tormentings-rhabdomyoma,1487,828
915,pyrolising-pudendous,811,1095
916,stern-koji,326,1864
917,earbashes-salaciousnesses,1729,1754
918,exemplify-thusness,885,716
919,photomosaics-pigsconce,1806,1860
920,genizoth-parabases,1376,1265
921,heaths-platinised,399,1184
922,hubcaps-onshoring,1274,1714
923,brimfull-protistan,1247,1673
924,codeine-reopposing,586,1243
925,brigadier-iguanians,1078,1890
926,thumblings-oar,454,1242
927,silphium-outsoars,1812,1567
928,mountebankisms-hushes,884,1813
929,gynaecia-plumberies,1627,1390
930,secrete-reptiloid,1622,1970
931,actualizes-sanest,496,915
932,overeducating-splotchy,494,1969
933,galoping-greenbug,743,750
934,catarrhines-fairnytickle,80,118
935,thanks-frati,734,1956
936,woodblocks-caprices,1798,1471
937,latents-aches,1099,1065
938,liney-bitchiness,1354,37
939,kinetheodolites-savarin,1188,372
940,briquettes-aoristic,382,1868
941,omasal-murmured,1703,224
942,paludicolous-pannier,933,307
943,quartodeciman-wheughed,1482,1725
944,derestricted-copycat,330,1146
945,uncured-shmooziest,1432,941
946,sows-mairehau,1260,35
947,epidotisation-fanions,40,1262
948,inputs-subassembled,1708,624
949,embus-slotback,1984,1572
950,puce-nonhereditary,105,1898
951,nymphomaniacal-arame,1497,2
952,friendings-ectogenesis,1526,134
953,percolates-exility,998,1090
954,sharns-niceness,1658,563
955,pinacotheca-refroze,1770,1017
956,gentlepersons-irremissions,887,977
957,decumbencies-lairy,938,250
958,disaggregation-noncallable,1276,1769
959,subclustering-manhandles,1544,1281
960,hyperexcited-argon,1795,1279
961,cums-blackleads,1895,269
962,metalize-ridiculously,19,292
963,caporals-taskers,1822,601
964,versant-laesie,786,57
965,menstrua-peeress,362,1553
966,punitory-otorhinolaryngologists,1654,219
967,roues-livering,1284,1880
968,optic-buzzbaits,1020,1524
969,sithen-interfiber,632,1177
970,glomerule-twenty,1414,1223
971,banal-likest,1906,770
972,consilient-shamefaced,226,972
973,paviors-devotionists,173,1504
974,myrmecochory-sombreness,1326,360
975,unpretentious-verbena,1985,1858
976,hydrotherapist-hairy,1298,1443
977,texturising-venatic,1836,1124
978,pukas-secrecy,262,228
979,naughtiness-prequalification,1004,297
980,gasohols-enterectomy,620,846
981,iridial-pentoside,1021,234
982,decarbonating-apologize,468,94
983,pulsidge-spectrometric,718,532
984,chokey-allurers,88,1157
985,interposition-religionize,1317,508
986,lamenters-namaste,308,1418
987,insouled-countermeasures,1110,1278
988,eviscerated-boogers,1883,65
989,kenos-choreographies,1685,1640
990,iodine-clodhopping,654,918
991,latrias-workwatchers,971,374
992,deckles-pourtraicts,1742,1327
993,tarantaras-cid,442,464
994,ipecacs-unvulgar,772,1688
995,blew-thraward,1178,855
996,bating-hagdon,1407,808
997,newsgroup-degenerateness,1313,280
998,dionysian-shrimping,1614,1464
999,cocooned-ampliation,538,1312
